name,datetime,temp,humidity,precip,windspeed,description
Nagar Kurnool,14-05-2020,34.1,41.2,0,28.8,Partly cloudy throughout the day.
Nagar Kurnool,15-05-2020,34.2,37.7,0,21.2,Partly cloudy throughout the day.
Nagar Kurnool,16-05-2020,34.6,36.4,0,17.6,Partly cloudy throughout the day.
Nagar Kurnool,17-05-2020,34.7,41.7,3.8,17.6,Partly cloudy throughout the day with rain.
Nagar Kurnool,18-05-2020,34.4,42.9,0.8,24.1,Partly cloudy throughout the day with rain clearing later.
Nagar Kurnool,19-05-2020,35.6,28.7,0,31,Partly cloudy throughout the day.
Nagar Kurnool,20-05-2020,35.2,30.9,0,25.9,Partly cloudy throughout the day.
Nagar Kurnool,21-05-2020,35.7,26.6,0,30.6,Partly cloudy throughout the day.
Nagar Kurnool,22-05-2020,34.5,19.3,0,14.8,Partly cloudy throughout the day.
Nagar Kurnool,23-05-2020,35.2,22.5,0,18,Partly cloudy throughout the day.
Nagar Kurnool,24-05-2020,35.4,37.8,0,22,Partly cloudy throughout the day.
Nagar Kurnool,25-05-2020,35.8,38.1,0,27.4,Partly cloudy throughout the day.
Nagar Kurnool,26-05-2020,35.8,42.3,0,25.9,Partly cloudy throughout the day.
Nagar Kurnool,27-05-2020,36,38.2,0,22.3,Partly cloudy throughout the day.
Nagar Kurnool,28-05-2020,36.2,35.2,0,28.8,Cloudy skies throughout the day.
Nagar Kurnool,29-05-2020,35.5,39.3,3.1,31,Cloudy skies throughout the day with late afternoon rain.
Nagar Kurnool,30-05-2020,30.8,62.9,20.2,26.6,Partly cloudy throughout the day with rain clearing later.
Nagar Kurnool,31-05-2020,29.1,72.8,5,10.8,Partly cloudy throughout the day with rain.
Nagar Kurnool,01-06-2020,29.4,70.1,5.2,7.9,Partly cloudy throughout the day with rain.
Nagar Kurnool,02-06-2020,27.1,80.3,29.3,16.6,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,03-06-2020,28.4,71.9,0.7,26.6,Partly cloudy throughout the day with rain clearing later.
Nagar Kurnool,04-06-2020,29,67.4,0.7,29.9,Partly cloudy throughout the day with rain in the morning and afternoon.
Nagar Kurnool,05-06-2020,29.9,60.4,0.4,25.6,Partly cloudy throughout the day with morning rain.
Nagar Kurnool,06-06-2020,29.4,57.5,0,28.4,Partly cloudy throughout the day.
Nagar Kurnool,07-06-2020,29.6,59.7,0,24.8,Partly cloudy throughout the day.
Nagar Kurnool,08-06-2020,29.4,61.8,0,31.3,Partly cloudy throughout the day.
Nagar Kurnool,09-06-2020,29.2,56.3,0,27.7,Partly cloudy throughout the day.
Nagar Kurnool,10-06-2020,29.2,64.1,13.7,28.8,Partly cloudy throughout the day with rain.
Nagar Kurnool,11-06-2020,26.3,80.4,20.6,28.1,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,12-06-2020,25.8,80.9,7.7,22,Cloudy skies throughout the day with rain clearing later.
Nagar Kurnool,13-06-2020,28.3,66,0,34.9,Cloudy skies throughout the day.
Nagar Kurnool,14-06-2020,28.8,65.2,0,31,Partly cloudy throughout the day.
Nagar Kurnool,15-06-2020,29.8,63.4,0,35.3,Partly cloudy throughout the day.
Nagar Kurnool,16-06-2020,28.7,70.9,0.4,34.2,Partly cloudy throughout the day with late afternoon rain.
Nagar Kurnool,17-06-2020,28.5,71.4,1.6,32.4,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,18-06-2020,27.8,71.9,0,28.4,Partly cloudy throughout the day.
